"L_Ankle,""L_Elbow"",""L_Hip"",""L_knee"",""L_Sholder"",""L_Wrest"",""Neck"",""Noze"",""R_Ankle"",""R_Elbow"",""R_Hip"",""R_Knee"",""R_Sholder"",""R_Wrest"""

"(-1.7600252628326416, -4.166314125061035),""(-0.21029478311538696, -0.06747747957706451)"",""(-1.3931435346603394, -0.9665994048118591)"",""(-1.4437494277954102, -2.505861282348633)"",""(-0.7981451153755188, 0.7667440176010132)"",""(0.3244396448135376, 0.40880417823791504)"",""(-0.9753493666648865, 0.770982027053833)"",""(-0.33214321732521057, 1.325157642364502)"",""(-1.269615888595581, -4.402467250823975)"",""(-0.5242743492126465, -0.2630385756492615)"",""(-1.5837675333023071, -0.9921880960464478)"",""(-1.2230403423309326, -2.5656862258911133)"",""(-1.1890032291412354, 0.7024106979370117)"",""(0.2869991958141327, 0.40718281269073486)"""
"(-1.7525455951690674, -4.162234783172607),""(-0.16019035875797272, -0.03225669264793396)"",""(-1.3919583559036255, -0.9649821519851685)"",""(-1.4437037706375122, -2.5039188861846924)"",""(-0.8029671311378479, 0.7753045558929443)"",""(0.3360525965690613, 0.47389087080955505)"",""(-0.9815433621406555, 0.7753822207450867)"",""(-0.3529573678970337, 1.3464317321777344)"",""(-1.2635995149612427, -4.399084091186523)"",""(-0.49019855260849, -0.22118185460567474)"",""(-1.585198163986206, -0.9891653656959534)"",""(-1.2161020040512085, -2.566093683242798)"",""(-1.1925156116485596, 0.7016955018043518)"",""(0.28749969601631165, 0.4642731547355652)"""
"(-1.7457575798034668, -4.157016754150391),""(-0.11898476630449295, 0.001511258538812399)"",""(-1.3907207250595093, -0.963293194770813)"",""(-1.4436283111572266, -2.5021610260009766)"",""(-0.8075941801071167, 0.7845070958137512)"",""(0.3445071578025818, 0.5327396392822266)"",""(-0.987850546836853, 0.7806597352027893)"",""(-0.37198975682258606, 1.366683006286621)"",""(-1.2592469453811646, -4.394193172454834)"",""(-0.46794551610946655, -0.18947270512580872)"",""(-1.586648941040039, -0.986099898815155)"",""(-1.2098853588104248, -2.566582441329956)"",""(-1.196451187133789, 0.7011363506317139)"",""(0.2878583073616028, 0.514135479927063)"""
"(-1.7396539449691772, -4.15094518661499),""(-0.08677211403846741, 0.033549726009368896)"",""(-1.3894410133361816, -0.9615468978881836)"",""(-1.4435158967971802, -2.500579357147217)"",""(-0.8119121789932251, 0.7943217158317566)"",""(0.3477759063243866, 0.585257351398468)"",""(-0.9941878914833069, 0.7868943810462952)"",""(-0.39072003960609436, 1.3856667280197144)"",""(-1.2566027641296387, -4.387640953063965)"",""(-0.4524218738079071, -0.17611761391162872)"",""(-1.588099718093872, -0.9830344915390015)"",""(-1.2046313285827637, -2.56715989112854)"",""(-1.200825572013855, 0.700772225856781)"",""(0.28809866309165955, 0.5575242638587952)"""
"(-1.7342264652252197, -4.144304275512695),""(-0.06364653259515762, 0.06358207017183304)"",""(-1.3881298303604126, -0.9597576260566711)"",""(-1.4433590173721313, -2.4991636276245117)"",""(-0.8158074021339417, 0.8047181367874146)"",""(0.3199581801891327, 0.6304532885551453)"",""(-1.0004884004592896, 0.7949042320251465)"",""(-0.4106277823448181, 1.4031381607055664)"",""(-1.2557114362716675, -4.3792724609375)"",""(-0.44071632623672485, -0.17046917974948883)"",""(-1.589530348777771, -0.9800117611885071)"",""(-1.2005804777145386, -2.567833185195923)"",""(-1.2056541442871094, 0.7006421685218811)"",""(0.28824448585510254, 0.5951936841011047)"""
"(-1.7294671535491943, -4.137378692626953),""(-0.04970216378569603, 0.09133165329694748)"",""(-1.386797547340393, -0.9579396843910217)"",""(-1.4431501626968384, -2.4979052543640137)"",""(-0.8192052841186523, 0.8155926465988159)"",""(0.2857612371444702, 0.6637471318244934)"",""(-1.0067481994628906, 0.8050379157066345)"",""(-0.43319272994995117, 1.4188525676727295)"",""(-1.2667075395584106, -4.369522571563721)"",""(-0.43086326122283936, -0.16015717387199402)"",""(-1.5909205675125122, -0.9770743250846863)"",""(-1.197973608970642, -2.5686099529266357)"",""(-1.210935354232788, 0.7039321064949036)"",""(0.2883193790912628, 0.6278982162475586)"""
"(-1.7253682613372803, -4.130453109741211),""(-0.04503312706947327, 0.11652182042598724)"",""(-1.3854548931121826, -0.9561074376106262)"",""(-1.4428820610046387, -2.4967947006225586)"",""(-0.8221890330314636, 0.826547384262085)"",""(0.2737835645675659, 0.687702476978302)"",""(-1.0129796266555786, 0.8166707158088684)"",""(-0.4588814675807953, 1.432679533958435)"",""(-1.2936491966247559, -4.3611884117126465)"",""(-0.42249709367752075, -0.144773930311203)"",""(-1.592250108718872, -0.9742649793624878)"",""(-1.1970511674880981, -2.569497585296631)"",""(-1.2165998220443726, 0.7126055359840393)"",""(0.2883469760417938, 0.6563922166824341)"""
"(-1.7219215631484985, -4.123812675476074),""(-0.04531996324658394, 0.13889506459236145)"",""(-1.3841122388839722, -0.9542751312255859)"",""(-1.4425472021102905, -2.4958226680755615)"",""(-0.824880838394165, 0.8371105790138245)"",""(0.2633010447025299, 0.708667516708374)"",""(-1.0191947221755981, 0.8291779160499573)"",""(-0.48410868644714355, 1.444944977760315)"",""(-1.3274662494659424, -4.3576579093933105)"",""(-0.4156523048877716, -0.12690240144729614)"",""(-1.5934990644454956, -0.971626341342926)"",""(-1.200913906097412, -2.5714855194091797)"",""(-1.222561001777649, 0.7248680591583252)"",""(0.288350909948349, 0.6814299821853638)"""
"(-1.7191194295883179, -4.117740631103516),""(-0.04620403051376343, 0.15827038884162903)"",""(-1.3827799558639526, -0.9524571895599365)"",""(-1.4421381950378418, -2.4949800968170166)"",""(-0.8274033665657043, 0.8468106985092163)"",""(0.25421395897865295, 0.7268416881561279)"",""(-1.0254058837890625, 0.8419350385665894)"",""(-0.5042759776115417, 1.4560892581939697)"",""(-1.360595941543579, -4.359082221984863)"",""(-0.4103633165359497, -0.1091255396604538)"",""(-1.5946468114852905, -0.9692010283470154)"",""(-1.2113988399505615, -2.5752480030059814)"",""(-1.228732705116272, 0.738925039768219)"",""(0.2829325497150421, 0.703374445438385)"""
"(-1.7169536352157593, -4.112522602081299),""(-0.04772069677710533, 0.17448590695858002)"",""(-1.3814687728881836, -0.9506679177284241)"",""(-1.4416476488113403, -2.494257688522339)"",""(-0.8298789858818054, 0.8551761507987976)"",""(0.2464226484298706, 0.7424243688583374)"",""(-1.0316251516342163, 0.854317307472229)"",""(-0.5147849321365356, 1.466552734375)"",""(-1.3915048837661743, -4.363064289093018)"",""(-0.4066646099090576, -0.09402630478143692)"",""(-1.5956735610961914, -0.967031717300415)"",""(-1.2268500328063965, -2.5803170204162598)"",""(-1.2350281476974487, 0.7529820203781128)"",""(0.2707928717136383, 0.7210229635238647)"""
