"L_Ankle,""L_Elbow"",""L_Hip"",""L_knee"",""L_Wrest"",""Neck"",""Noze"",""R_Ankle"",""R_Elbow"",""R_Hip"",""R_Knee"",""R_Sholder"",""L_Sholder"",""R_Wrest"""

"(-1.7517095804214478, -4.130285263061523),""(-0.6411975622177124, -0.06834691017866135)"",""(-1.1344685554504395, -0.8352252840995789)"",""(-1.4209208488464355, -2.502220392227173)"",""(0.18107084929943085, 0.21311601996421814)"",""(-0.9475774168968201, 0.9860782623291016)"",""(-0.3538757264614105, 1.4257808923721313)"",""(-1.3958491086959839, -4.34308385848999)"",""(-1.230004072189331, -0.06414865702390671)"",""(-1.348143458366394, -0.857795774936676)"",""(-1.2082619667053223, -2.543489456176758)"",""(-1.268884539604187, 0.9466463923454285)"",""(-0.6747848987579346, 0.9466463923454285)"",""(-0.18741953372955322, 0.3712349236011505)"""
"(-1.749220371246338, -4.12912654876709),""(-0.5860172510147095, -0.0694965049624443)"",""(-1.1350027322769165, -0.8342645764350891)"",""(-1.4157450199127197, -2.4991087913513184)"",""(0.2304503321647644, 0.30445587635040283)"",""(-0.9452123045921326, 0.9854274392127991)"",""(-0.35775062441825867, 1.4551786184310913)"",""(-1.3889662027359009, -4.33764123916626)"",""(-1.171968698501587, -0.05461043491959572)"",""(-1.3426228761672974, -0.8567500114440918)"",""(-1.2105131149291992, -2.540809154510498)"",""(-1.2639726400375366, 0.9452906250953674)"",""(-0.6683021783828735, 0.9452906250953674)"",""(-0.16222938895225525, 0.45776763558387756)"""
"(-1.7460362911224365, -4.127603530883789),""(-0.5365781784057617, -0.07052648812532425)"",""(-1.135643482208252, -0.8332613110542297)"",""(-1.4116004705429077, -2.4962079524993896)"",""(0.26651784777641296, 0.4001920521259308)"",""(-0.9436607360839844, 0.985000491142273)"",""(-0.3609551787376404, 1.4846210479736328)"",""(-1.3808062076568604, -4.331826210021973)"",""(-1.1022372245788574, -0.04480969160795212)"",""(-1.337024450302124, -0.8556513786315918)"",""(-1.2128970623016357, -2.537982225418091)"",""(-1.2601324319839478, 0.9442306160926819)"",""(-0.6632338762283325, 0.9442306160926819)"",""(-0.11669086664915085, 0.5757976174354553)"""
"(-1.7423312664031982, -4.125772953033447),""(-0.49479418992996216, -0.07139697670936584)"",""(-1.1364003419876099, -0.8322239518165588)"",""(-1.4083726406097412, -2.49351167678833)"",""(0.2828630208969116, 0.5017979145050049)"",""(-0.9431033134460449, 0.9848470687866211)"",""(-0.3636626899242401, 1.5135087966918945)"",""(-1.3722203969955444, -4.326043605804443)"",""(-1.012532353401184, -0.0388045534491539)"",""(-1.3314260244369507, -0.8545080423355103)"",""(-1.2153995037078857, -2.5350277423858643)"",""(-1.2576316595077515, 0.9435403943061829)"",""(-0.6599335670471191, 0.9435403943061829)"",""(-0.08422364294528961, 0.6150647401809692)"""
"(-1.7382789850234985, -4.123691082000732),""(-0.4625791311264038, -0.07206813246011734)"",""(-1.137283205986023, -0.8311610817909241)"",""(-1.4059470891952515, -2.4910128116607666)"",""(0.2853989601135254, 0.6026512384414673)"",""(-0.9438427686691284, 0.9849065542221069)"",""(-0.3660464882850647, 1.5412431955337524)"",""(-1.364060401916504, -4.320695400238037)"",""(-0.95260089635849, -0.03693409636616707)"",""(-1.325905442237854, -0.8533280491828918)"",""(-1.2180062532424927, -2.5319645404815674)"",""(-1.2567386627197266, 0.9432938694953918)"",""(-0.6587548851966858, 0.9432938694953918)"",""(-0.06565380096435547, 0.6700801253318787)"""
"(-1.7340528964996338, -4.121415138244629),""(-0.4418466091156006, -0.07250005751848221)"",""(-1.1383014917373657, -0.8300811648368835)"",""(-1.404209017753601, -2.4887051582336426)"",""(0.2857612371444702, 0.6637471318244934)"",""(-0.9459801912307739, 0.9850805401802063)"",""(-0.3682798445224762, 1.5672248601913452)"",""(-1.357177495956421, -4.316185474395752)"",""(-0.9326931238174438, -0.04043436422944069)"",""(-1.3205407857894897, -0.8521196842193604)"",""(-1.220703125, -2.5288119316101074)"",""(-1.2567451000213623, 0.9439362287521362)"",""(-0.6587781310081482, 0.9439362287521362)"",""(-0.049409639090299606, 0.7014648914337158)"""
"(-1.7298269271850586, -4.119002342224121),""(-0.4345105290412903, -0.0726528912782669)"",""(-1.139465093612671, -0.8289926648139954)"",""(-1.4030438661575317, -2.4865810871124268)"",""(0.2849970757961273, 0.6862073540687561)"",""(-0.9493939280509949, 0.9853624105453491)"",""(-0.3707713782787323, 1.5910171270370483)"",""(-1.3524234294891357, -4.3129167556762695)"",""(-0.9193483591079712, -0.049185026437044144)"",""(-1.3154100179672241, -0.8508909344673157)"",""(-1.2234758138656616, -2.525588035583496)"",""(-1.256790280342102, 0.9457643628120422)"",""(-0.6589409112930298, 0.9457643628120422)"",""(-0.03512633591890335, 0.7103539109230042)"""
"(-1.7257745265960693, -4.116509914398193),""(-0.4345105290412903, -0.072639599442482)"",""(-1.140783667564392, -0.8279042840003967)"",""(-1.4023371934890747, -2.4846343994140625)"",""(0.2828374207019806, 0.703085720539093)"",""(-0.9539624452590942, 0.9857454299926758)"",""(-0.37487074732780457, 1.6128311157226562)"",""(-1.3506494760513306, -4.311291694641113)"",""(-0.9112539887428284, -0.06056088209152222)"",""(-1.3105908632278442, -0.849649965763092)"",""(-1.2263103723526, -2.5223121643066406)"",""(-1.2569129467010498, 0.948630154132843)"",""(-0.6593827605247498, 0.948630154132843)"",""(-0.023149078711867332, 0.7172768115997314)"""
"(-1.722069501876831, -4.1139936447143555),""(-0.4345105290412903, -0.0725465714931488)"",""(-1.142266869544983, -0.8268243074417114)"",""(-1.4019745588302612, -2.4828579425811768)"",""(0.2794816792011261, 0.7151796817779541)"",""(-0.9595642685890198, 0.9862228631973267)"",""(-0.38216277956962585, 1.6330403089523315)"",""(-1.3507416248321533, -4.310678005218506)"",""(-0.9070973992347717, -0.07193674892187119)"",""(-1.3061614036560059, -0.8484049439430237)"",""(-1.2291922569274902, -2.5190036296844482)"",""(-1.25715172290802, 0.9523853063583374)"",""(-0.6602432131767273, 0.9523853063583374)"",""(-0.013310812413692474, 0.7224791646003723)"""
"(-1.7188856601715088, -4.111511707305908),""(-0.4345105290412903, -0.07229405641555786)"",""(-1.143924355506897, -0.8257614374160767)"",""(-1.4018408060073853, -2.481245517730713)"",""(0.27512919902801514, 0.7232866883277893)"",""(-0.9660777449607849, 0.9867881536483765)"",""(-0.3942324221134186, 1.6520180702209473)"",""(-1.3511745929718018, -4.310165882110596)"",""(-0.9055660367012024, -0.08068740367889404)"",""(-1.3021997213363647, -0.8471639752388)"",""(-1.2321075201034546, -2.5156807899475098)"",""(-1.2575453519821167, 0.956881582736969)"",""(-0.6616618037223816, 0.956881582736969)"",""(-0.005444476380944252, 0.7262067794799805)"""
